,agency_index,fiscal_year,base_and_all_options_value
0, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2014.0,0.0
1, Federal Trade Commission,2014.0,0.0
2, LIBRARY OF CONGRESS,2010.0,0.0
3, LIBRARY OF CONGRESS,2011.0,0.0
4, LIBRARY OF CONGRESS,2012.0,0.0
5, LIBRARY OF CONGRESS,2013.0,0.0
6, NUCLEAR REGULATORY COMMISSION,2014.0,0.0
7, Securities and Exchange Commission,2010.0,0.0
8, COMMODITY FUTURES TRADING COMMISSION,2014.0,0.0
9, NATIONAL SCIENCE FOUNDATION,2014.0,0.0
10, Environmental Protection Agency,2010.0,570.0
11, NATIONAL LABOR RELATIONS BOARD,2014.0,3000.0
12, Pretrial Services Agency - CSOSA,2013.0,8127.85
13, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2013.0,9702.0
14, SMALL BUSINESS ADMINISTRATION,2014.0,14400.0
15, Occupational Safety and Health Review Commission,2016.0,14416.0
16, FEDERAL MEDIATION AND CONCILIATION SERVICE,2015.0,27273.95
17, FEDERAL LABOR RELATIONS AUTHORITY,2016.0,30178.18
18, NATIONAL CAPITAL PLANNING COMMISSION,2013.0,45203.53
19, Broadcasting Board of Governors,2014.0,45250.0
20, Pretrial Services Agency - CSOSA,2011.0,49914.0
21, RECOVERY ACCOUNTABILITY AND TRANSPARENCY BOARD,2011.0,60000.0
22, Broadcasting Board of Governors,2010.0,66695.0
23, Smithsonian Institution,2014.0,109229.0
24, MERIT SYSTEMS PROTECTION BOARD,2016.0,110617.56
25, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2014.0,154792.84
26, ELECTION ASSISTANCE COMMISSION,2011.0,199435.63999999998
27, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2015.0,232672.96000000002
28, SELECTIVE SERVICE SYSTEM,2013.0,271394.0
29, CONSUMER PRODUCT SAFETY COMMISSION,2014.0,284355.0
30, INTERNATIONAL TRADE COMMISSION,2014.0,353526.6
31, FEDERAL MARITIME COMMISSION,2013.0,430208.87999999995
32, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2016.0,440765.32999999996
33, NATIONAL ENDOWMENT FOR THE ARTS,2015.0,511526.93000000005
34," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2015.0,615048.0
35, NATIONAL CAPITAL PLANNING COMMISSION,2012.0,615893.35
36, Chemical Safety and Hazard Investigation Board,2016.0,641954.36
37, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2015.0,665289.34
38, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2015.0,680453.8
39, MERIT SYSTEMS PROTECTION BOARD,2015.0,697097.7899999999
40, Department of Energy,2010.0,729256.26
41, Chemical Safety and Hazard Investigation Board,2015.0,785266.7200000001
42, FEDERAL LABOR RELATIONS AUTHORITY,2012.0,851595.72
43, NATIONAL ENDOWMENT FOR THE HUMANITIES,2015.0,886803.0
44, Pretrial Services Agency - CSOSA,2016.0,998921.55
45, NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,2016.0,1052673.0
46, NATIONAL MEDIATION BOARD,2012.0,1331356.8699999999
47, NATIONAL MEDIATION BOARD,2013.0,1343778.8699999996
48, OFFICE OF PERSONNEL MANAGEMENT,2014.0,1407196.64
49, NATIONAL TRANSPORTATION SAFETY BOARD,2015.0,1412213.9600000002
50, NATIONAL ENDOWMENT FOR THE ARTS,2013.0,1422443.19
51, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2012.0,1521323.74
52, FEDERAL ELECTION COMMISSION,2016.0,1524516.44
53, Chemical Safety and Hazard Investigation Board,2012.0,1555416.58
54, NATIONAL CAPITAL PLANNING COMMISSION,2011.0,1567034.12
55, Pretrial Services Agency - CSOSA,2012.0,1580086.53
56, NATIONAL MEDIATION BOARD,2011.0,1611943.4200000002
57, NATIONAL TRANSPORTATION SAFETY BOARD,2016.0,1619738.08
58, Environmental Protection Agency,2014.0,1623865.24
59, NATIONAL ENDOWMENT FOR THE ARTS,2012.0,1653142.1300000001
60, INTERNATIONAL TRADE COMMISSION,2010.0,1678612.82
61, FEDERAL MARITIME COMMISSION,2011.0,1775099.47
62, FEDERAL LABOR RELATIONS AUTHORITY,2015.0,1783553.4
63, Chemical Safety and Hazard Investigation Board,2013.0,1788865.8199999998
64, FEDERAL MEDIATION AND CONCILIATION SERVICE,2016.0,1967902.9000000004
65, MERIT SYSTEMS PROTECTION BOARD,2013.0,1972378.9800000002
66, FEDERAL COMMUNICATIONS COMMISSION,2014.0,2009050.42
67, FEDERAL MARITIME COMMISSION,2012.0,2249954.51
68, NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,2011.0,2408495.0900000003
69, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2015.0,2536616.7100000004
70, FEDERAL MARITIME COMMISSION,2016.0,2540724.5
71, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2011.0,2707498.07
72, NATIONAL ENDOWMENT FOR THE ARTS,2011.0,2714351.9899999998
73, FEDERAL MEDIATION AND CONCILIATION SERVICE,2011.0,2846266.38
74, FEDERAL LABOR RELATIONS AUTHORITY,2013.0,2918165.890000001
75, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2012.0,3013997.999999999
76, FEDERAL MARITIME COMMISSION,2015.0,3123275.18
77, NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,2012.0,3182767.45
78, SELECTIVE SERVICE SYSTEM,2012.0,3223499.180000001
79, NATIONAL LABOR RELATIONS BOARD,2016.0,3693322.8699999996
80, NATIONAL GALLERY OF ART,2015.0,3851308.25
81, CONSUMER FINANCIAL PROTECTION BUREAU,2011.0,3973358.0000000005
82, MERIT SYSTEMS PROTECTION BOARD,2011.0,4172547.7699999996
83, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2013.0,4305389.140000001
84, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2016.0,4535556.23
85, FEDERAL HOUSING FINANCE AGENCY,2012.0,4558449.56
86, FEDERAL ENERGY REGULATORY COMMISSION,2015.0,4659601.309999999
87, CONSUMER FINANCIAL PROTECTION BUREAU,2014.0,4975751.11
88, NATIONAL ENDOWMENT FOR THE HUMANITIES,2013.0,5141540.5
89, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2010.0,5242100.68
90," EDUCATION, DEPARTMENT OF",2014.0,5320274.58
91, NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,2013.0,5493881.35
92, NATIONAL ENDOWMENT FOR THE HUMANITIES,2012.0,5783495.0
93, SELECTIVE SERVICE SYSTEM,2011.0,5826230.790000001
94, NATIONAL ENDOWMENT FOR THE HUMANITIES,2011.0,5897559.0
95, PEACE CORPS,2015.0,6040170.99
96, FEDERAL MEDIATION AND CONCILIATION SERVICE,2013.0,6214099.340000002
97, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2015.0,6644608.180000002
98, MERIT SYSTEMS PROTECTION BOARD,2012.0,6812198.600000001
99, Securities and Exchange Commission,2014.0,7888078.3
100, Millennium Challenge Corporation,2010.0,7992559.24
101, Department of Health and Human Services,2010.0,8114815.249999999
102, U.S. Agency for International Development,2010.0,8297701.51
103, FEDERAL MEDIATION AND CONCILIATION SERVICE,2012.0,8306345.16
104, Department of Homeland Security,2010.0,8609116.92
105, CONSUMER PRODUCT SAFETY COMMISSION,2016.0,8919226.809999997
106, GOVERNMENT ACCOUNTABILITY OFFICE,2010.0,9225140.879999999
107, FEDERAL LABOR RELATIONS AUTHORITY,2011.0,9469614.610000001
108, National Aeronautics and Space Administration,2010.0,9495953.09
109, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2013.0,9640245.49
110, NATIONAL LABOR RELATIONS BOARD,2015.0,9950200.879999999
111, INTERNATIONAL TRADE COMMISSION,2015.0,10064011.150000002
112, NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,2015.0,10230639.900000002
113, INTERNATIONAL TRADE COMMISSION,2016.0,10323021.580000002
114, U.S. Agency for International Development,2014.0,10367295.14
115, NATIONAL GALLERY OF ART,2010.0,10456261.42
116, COMMODITY FUTURES TRADING COMMISSION,2016.0,11220161.67
117, NATIONAL TRANSPORTATION SAFETY BOARD,2011.0,11267383.969999997
118, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2011.0,11902623.989999996
119, Department of Energy,2014.0,12001214.469999999
120, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2014.0,12030077.3
121, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2013.0,12095760.44
122, INTERNATIONAL TRADE COMMISSION,2011.0,12179502.520000001
123, FEDERAL ELECTION COMMISSION,2015.0,13915431.599999996
124, OVERSEAS PRIVATE INVESTMENT CORPORATION,2016.0,13964106.119999997
125, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2015.0,14076006.94
126, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2011.0,14201119.38
127, INTERNATIONAL TRADE COMMISSION,2012.0,15566235.680000003
128, RAILROAD RETIREMENT BOARD,2013.0,15735079.909999995
129," TRANSPORTATION, DEPARTMENT OF",2014.0,16075606.719999999
130, RAILROAD RETIREMENT BOARD,2012.0,16552006.700000003
131, NATIONAL TRANSPORTATION SAFETY BOARD,2013.0,16610011.630000003
132, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2010.0,16618613.429999998
133, INTERNATIONAL TRADE COMMISSION,2013.0,16856404.6
134, GOVERNMENT ACCOUNTABILITY OFFICE,2016.0,17119308.319999997
135, FEDERAL ELECTION COMMISSION,2013.0,17168867.99
136, FEDERAL ELECTION COMMISSION,2011.0,18866115.439999994
137, NATIONAL LABOR RELATIONS BOARD,2011.0,18935087.34999999
138, NATIONAL TRANSPORTATION SAFETY BOARD,2012.0,19241797.070000004
139, NATIONAL LABOR RELATIONS BOARD,2012.0,20167609.390000015
140, RAILROAD RETIREMENT BOARD,2016.0,20514107.799999993
141, PEACE CORPS,2011.0,21114166.240000002
142, Federal Trade Commission,2016.0,22137871.860000003
143, NATIONAL LABOR RELATIONS BOARD,2013.0,22153927.820000004
144, CONSUMER PRODUCT SAFETY COMMISSION,2015.0,22587043.21
145, RAILROAD RETIREMENT BOARD,2011.0,23304808.530000005
146, PEACE CORPS,2013.0,23456783.349999998
147, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2016.0,23548912.080000006
148, CONSUMER FINANCIAL PROTECTION BUREAU,2012.0,23705406.359999992
149, PEACE CORPS,2012.0,24124138.169999994
150, NATIONAL GALLERY OF ART,2011.0,24499382.089999992
151, National Aeronautics and Space Administration,2014.0,24647124.63
152, OVERSEAS PRIVATE INVESTMENT CORPORATION,2011.0,25203930.919999998
153, GOVERNMENT ACCOUNTABILITY OFFICE,2011.0,25716007.91
154, PEACE CORPS,2010.0,26144859.939999983
155, NATIONAL GALLERY OF ART,2013.0,26341973.930000003
156, PEACE CORPS,2014.0,26826464.040000003
157, OVERSEAS PRIVATE INVESTMENT CORPORATION,2012.0,27437218.909999996
158, CONSUMER FINANCIAL PROTECTION BUREAU,2015.0,27541492.8
159, CONSUMER FINANCIAL PROTECTION BUREAU,2016.0,27584586.740000006
160, CONSUMER PRODUCT SAFETY COMMISSION,2013.0,28387928.590000015
161, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2012.0,28512296.31000001
162, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2012.0,28624839.72
163, FEDERAL COMMUNICATIONS COMMISSION,2016.0,29111872.509999994
164, CONSUMER PRODUCT SAFETY COMMISSION,2011.0,29539995.520000007
165, FEDERAL ENERGY REGULATORY COMMISSION,2013.0,31591560.039999995
166, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2012.0,31727256.02000001
167, OVERSEAS PRIVATE INVESTMENT CORPORATION,2015.0,31950844.339999996
168, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2016.0,32376440.119999997
169, CONSUMER PRODUCT SAFETY COMMISSION,2012.0,32745594.059999987
170, COMMODITY FUTURES TRADING COMMISSION,2015.0,34956852.77000001
171, NATIONAL GALLERY OF ART,2012.0,38039012.96
172, FEDERAL ENERGY REGULATORY COMMISSION,2011.0,38459489.269999996
173, RAILROAD RETIREMENT BOARD,2015.0,38547087.420000024
174, FEDERAL ELECTION COMMISSION,2012.0,38875640.0
175, Millennium Challenge Corporation,2015.0,40328114.77999999
176, General Services Administration,2014.0,41225928.05000005
177, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2011.0,41258009.38999999
178, FEDERAL ENERGY REGULATORY COMMISSION,2012.0,42536784.79999998
