,naics_code,fiscal_year,base_and_all_options_value
3863, CREDIT UNIONS,2007,134858.0
3864, NEW HOUSING FOR-SALE BUILDERS,2005,134960.6
3865, JEWELRY (EXCEPT COSTUME) MANUFACTURING,2005,134963.66999999998
3866, MINERAL WOOL MANUFACTURING,2001,135000.0
3867, TRUSS MANUFACTURING,2009,135000.46
3868, APICULTURE,2007,135086.32
3869, LAMINATED ALUMINUM FOIL MANUFACTURING FOR FLEXIBLE PACKAGING USES,2007,135230.0
3870, OTHER SNACK FOOD MANUFACTURING,2005,135406.99000000002
3871, SALES FINANCING,2008,135454.22
3872, POWER BOILER AND HEAT EXCHANGER MANUFACTURING,2003,135931.0
3873, STEEL WIRE DRAWING,2004,135960.43000000002
3874, OTHER GASOLINE STATIONS,2003,136099.6
3875, INDUSTRIAL SAND MINING,2008,136110.0
3876, POSTHARVEST CROP ACTIVITIES (EXCEPT COTTON GINNING),2007,136419.0
3877, INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS,2004,136538.84
3878, NUCLEAR ELECTRIC POWER GENERATION,2009,136544.0
3879," KITCHEN UTENSIL, POT, AND PAN MANUFACTURING",2004,136579.8
3880, ADMINISTRATION OF URBAN PLANNING AND COMMUNITY AND RURAL DEVELOPMENT,2006,136951.49
3881, MORTGAGE AND NONMORTGAGE LOAN BROKERS,2005,136993.2
3882, REFRIGERATION EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2003,137290.0
3883, NITROGENOUS FERTILIZER MANUFACTURING,2006,137472.55
3884, ANIMAL (EXCEPT POULTRY) SLAUGHTERING,2000,137680.0
3885, MOTOR VEHICLE AIR-CONDITIONING MANUFACTURING,2004,138514.6
3886, SINGLE FAMILY HOUSING CONSTRUCTION,2001,138710.0
3887, USED MERCHANDISE STORES,2007,138711.45
3888, PROFESSIONAL EMPLOYER ORGANIZATIONS (FORMERLY EMPLOYEE LEASING SERVICES),2003,138727.0
3889, PLASTICS PLUMBING FIXTURE MANUFACTURING,2004,138908.94
3890," ELECTRICAL APPLIANCE, TELEVISION, AND RADIO SET WHOLESALERS",2004,138993.12
3891, PAGING,2003,139200.0
3892, OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING,2004,139545.0
3893," BROOM, BRUSH, AND MOP MANUFACTURING",2001,139700.0
3894, PRIVATE HOUSEHOLDS,2008,139848.0
3895, MEN'S AND BOYS' CUT AND SEW UNDERWEAR AND NIGHTWEAR MANUFACTURING,2004,139866.81
3896, HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING,2003,140011.0
3897, ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION,2000,140023.0
3898, AUTOMOTIVE GLASS REPLACEMENT SHOPS,2006,140338.12
3899, OTHER KNIT FABRIC AND LACE MILLS,2004,140777.99
3900, FISH AND SEAFOOD MERCHANT WHOLESALERS,2005,140793.33
3901, DIRECT LIFE INSURANCE CARRIERS,2008,140993.3
3902, OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,2000,141355.02
3903," SPECIAL DIE AND TOOL, DIE SET, JIG, AND FIXTURE MANUFACTURING",2004,141630.05
3904, SHORT LINE RAILROADS,2009,142208.19
3905, MULTIFAMILY HOUSING CONSTRUCTION,2009,142586.66999999998
3906, ALL OTHER GRAIN FARMING,2006,142637.18
3907, OPHTHALMIC GOODS MANUFACTURING,2002,142729.5
3908, FOOD (HEALTH) SUPPLEMENT STORES,2009,142886.77
3909, FINE ARTS SCHOOLS,2006,143061.52000000002
3910, UNLAMINATED PLASTICS FILM AND SHEET (EXCEPT PACKAGING) MANUFACTURING,2002,143100.0
3911, SILVERWARE AND HOLLOWWARE MANUFACTURING,2005,143272.40000000002
3912, BREWERIES,2009,143417.18
3913, PRIVATE HOUSEHOLDS,2005,143911.0
3914, SHORT LINE RAILROADS,2003,143916.25
3915, PRIVATE MAIL CENTERS,2000,144000.0
3916, OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING,2004,144490.5
3917, FORMAL WEAR AND COSTUME RENTAL,2009,144586.8
3918, FINFISH FISHING,2006,144620.3
3919, LIME MANUFACTURING,2006,144678.8
3920, SHIP BUILDING AND REPAIRING,2001,145060.39
3921, PASSENGER CAR LEASING,2002,145114.89
3922, CHARTER BUS INDUSTRY,2004,145205.19
3923, SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),2005,145463.4
3924, ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,2001,146001.0
3925, BURIAL CASKET MANUFACTURING,2009,146119.21999999997
3926, PLUMBING AND HEATING EQUIPMENT AND SUPPLIES (HYDRONICS) WHOLESALERS,2002,146249.0
3927, PAPERBOARD MILLS,2008,147053.4
3928, ICE CREAM AND FROZEN DESSERT MANUFACTURING,2008,147685.19
3929, WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING,2005,147760.85
3930, SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES,2004,147834.56
3931," ROOFING, SIDING, AND SHEET METAL CONTRACTORS",2000,148000.0
3932, RETAIL BAKERIES,2008,148261.04
3933," TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES",2007,148386.46
3934, POULTRY HATCHERIES,2007,148843.56999999998
3935, SURFACE ACTIVE AGENT MANUFACTURING,2005,149278.0
3936, ASSISTED LIVING FACILITIES FOR THE ELDERLY,2008,149560.0
3937, FLAT GLASS MANUFACTURING,2005,149747.45
3938, REFRIGERATED WAREHOUSING AND STORAGE,2004,149811.12
3939, LEGISLATIVE BODIES,2003,150000.0
3940, LESSORS OF NONFINANCIAL INTANGIBLE ASSETS (EXCEPT COPYRIGHTED WORKS),2002,150000.0
3941, HOUSEHOLD COOKING APPLIANCE MANUFACTURING,2003,150000.0
3942, TOTALIZING FLUID METER AND COUNTING DEVICE MANUFACTURING,2000,150000.0
3943, CERAMIC WALL AND FLOOR TILE MANUFACTURING,2000,150000.0
3944, STATIONERY AND OFFICE SUPPLIES WHOLESALERS,2003,150691.35
3945, FARM LABOR CONTRACTORS AND CREW LEADERS,2006,150946.47
3946, ALUMINUM FOUNDRIES (EXCEPT DIE-CASTING),2005,151316.96
3947, PORCELAIN ELECTRICAL SUPPLY MANUFACTURING,2008,151553.72
3948, OTHER SOCIAL ADVOCACY ORGANIZATIONS,2002,151835.0
3949," REGULATION, LICENSING, AND INSPECTION OF MISCELLANEOUS COMMERCIAL SECTORS",2004,152438.69
3950, WOMEN'S FOOTWEAR (EXCEPT ATHLETIC) MANUFACTURING,2005,152701.9
3951, PHOSPHATIC FERTILIZER MANUFACTURING,2007,152969.0
3952, OUTDOOR ADVERTISING,2004,153281.55000000002
3953, GROUND OR TREATED MINERAL AND EARTH MANUFACTURING,2003,153298.0
3954, CELLULOSIC ORGANIC FIBER MANUFACTURING,2005,153369.0
3955, DOG AND CAT FOOD MANUFACTURING,2005,153400.44
3956, SOLID WASTE LANDFILL,2000,153522.0
3957, ALUMINUM DIE-CASTING FOUNDRIES,2007,153543.0
3958," ELECTRICAL APPLIANCE, TELEVISION, AND RADIO SET WHOLESALERS",2007,154223.77000000002
3959, INDUSTRIAL AND COMMERCIAL FAN AND BLOWER MANUFACTURING,2004,154367.0
3960, MEAT MARKETS,2009,154443.6
3961, LUGGAGE AND LEATHER GOODS STORES,2006,154715.26
3962, LABOR UNIONS AND SIMILAR LABOR ORGANIZATIONS,2009,154813.09
3963, PLUMBING AND HEATING EQUIPMENT AND SUPPLIES (HYDRONICS) WHOLESALERS,2004,155158.21000000002
3964, OTHER ELECTRIC POWER GENERATION,2003,155216.0
3965, TEXTILE MACHINERY MANUFACTURING,2008,155557.8
3966, LAND SUBDIVISION AND LAND DEVELOPMENT,2005,156108.48
3967, ALL OTHER LEGAL SERVICES,2001,156946.82
3968, TOUR OPERATORS,2008,157388.0
3969, SOUND RECORDING STUDIOS,2006,157752.38
3970, USED MERCHANDISE STORES,2006,157870.0
3971, SAWMILL AND WOODWORKING MACHINERY MANUFACTURING,2005,160091.16
3972, MEAT MARKETS,2004,160363.18
3973, CAR WASHES,2006,160524.5
3974, PET AND PET SUPPLIES STORES,2008,160774.59
3975, WHEAT FARMING,2004,161901.05
3976, BRICK AND STRUCTURAL CLAY TILE MANUFACTURING,2009,161992.5
3977, POSTAL SERVICE,2003,162923.84
3978, RECONSTITUTED WOOD PRODUCT MANUFACTURING,2009,163032.23
3979, NATURE PARKS AND OTHER SIMILAR INSTITUTIONS,2008,163472.96
3980, FRESH AND FROZEN SEAFOOD PROCESSING,2005,163690.56
3981," GAME, TOY, AND CHILDREN'S VEHICLE MANUFACTURING",2004,163863.56999999998
3982, MUSICAL GROUPS AND ARTISTS,2005,164165.0
3983, SATELLITE TELECOMMUNICATIONS,2001,164678.0
3984, SNACK AND NONALCOHOLIC BEVERAGE BARS,2008,164963.63
3985, ELECTRIC HOUSEWARES AND HOUSEHOLD FAN MANUFACTURING,2004,165070.63
3986, HARDWARE WHOLESALERS,2006,165221.93
3987, ALL OTHER HOME FURNISHINGS STORES,2002,165401.0
3988, FARM AND GARDEN MACHINERY AND EQUIPMENT WHOLESALERS,2004,165684.61000000002
3989, UNLAMINATED PLASTICS FILM AND SHEET (EXCEPT PACKAGING) MANUFACTURING,2008,165966.71000000002
3990, CABLE NETWORKS,2002,165996.0
3991, OTHER NONFERROUS FOUNDRIES (EXCEPT DIE-CASTING),2005,166210.22
3992, MOTOR VEHICLE METAL STAMPING,2006,166310.89
3993," ADMINISTRATION OF HUMAN RESOURCE PROGRAMS (EXCEPT EDUCATION, PUBLIC HEALTH, AND VETERANS' AFFAIRS PROGRAMS)",2008,167328.38999999998
3994, LIME MANUFACTURING,2003,167400.0
3995, STEAM AND AIR-CONDITIONING SUPPLY,2003,167875.0
3996, CARPENTRY CONTRACTORS,2000,168000.0
3997," SECONDARY SMELTING, REFINING, AND ALLOYING OF COPPER",2008,168149.7
3998, BUILDING EQUIPMENT AND OTHER MACHINERY INSTALLATION CONTRACTORS,2008,168511.38999999998
3999, FLUID POWER CYLINDER AND ACTUATOR MANUFACTURING,2005,168665.35
4000, ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,2001,168702.66999999998
4001," CAFETERIAS, GRILL BUFFETS, AND BUFFETS",2004,168730.0
4002, AUTOMATIC VENDING MACHINE MANUFACTURING,2005,168941.97999999998
4003," SCALE AND BALANCE MANUFACTURING (2007), SCALE AND BALANCE (EXCEPT LABORATORY) MANUFACTURING (2002)",2005,169551.06
4004, DRILLING OIL AND GAS WELLS,2008,169708.89
4005, OTHER DIRECT SELLING ESTABLISHMENTS,2003,169738.63
4006, POLICE PROTECTION,2002,170000.0
4007, SAVINGS INSTITUTIONS,2009,170151.44
4008, POULTRY HATCHERIES,2009,170441.62
4009, METAL SERVICE CENTERS AND OTHER METAL MERCHANT WHOLESALERS,2004,170720.84999999998
4010, GOLD ORE MINING,2009,170993.25
4011, RECONSTITUTED WOOD PRODUCT MANUFACTURING,2007,171501.0
4012, SHOE STORES,2008,171722.32
4013, USED CAR DEALERS,2008,172549.5
4014, CABLE NETWORKS,2008,172686.68
4015, SAWMILL AND WOODWORKING MACHINERY MANUFACTURING,2008,172722.93000000002
4016, RECYCLABLE MATERIAL WHOLESALERS,2000,172774.28
4017, CONSUMER ELECTRONICS AND APPLIANCES RENTAL,2004,172959.57
4018," SCENIC AND SIGHTSEEING TRANSPORTATION, OTHER",2009,173141.39
4019, OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES WHOLESALERS,2009,173302.96
4020, ALL OTHER MISCELLANEOUS NONMETALLIC MINERAL PRODUCT MANUFACTURING,2005,173465.29
4021, TEMPORARY SHELTERS,2002,173688.03999999998
4022, BROADWOVEN FABRIC MILLS,2001,173704.0
4023," OTHER DIRECT INSURANCE (EXCEPT LIFE, HEALTH, AND MEDICAL) CARRIERS",2005,174137.06
4024, OTHER POULTRY PRODUCTION,2006,174242.34
4025, METAL HOUSEHOLD FURNITURE MANUFACTURING,2003,174401.06
4026, IRON FOUNDRIES,2005,174600.86
4027, NEWS SYNDICATES,2004,174746.0
4028," ALUMINUM SHEET, PLATE, AND FOIL MANUFACTURING",2003,175111.0
4029, HORSES AND OTHER EQUINE PRODUCTION,2005,175190.0
4030, CERAMIC WALL AND FLOOR TILE MANUFACTURING,2005,175698.93
4031, OTHER ELECTRONIC PARTS AND EQUIPMENT WHOLESALERS,2009,175947.62
4032, PREPRESS SERVICES,2006,176079.07
4033, PREPRESS SERVICES,2004,176326.86
4034," GAME, TOY, AND CHILDREN'S VEHICLE MANUFACTURING",2003,176447.2
4035," PIECE GOODS, NOTIONS, AND OTHER DRY GOODS MERCHANT WHOLESALERS",2008,176871.56
4036, POSTHARVEST CROP ACTIVITIES (EXCEPT COTTON GINNING),2005,177045.0
4037, UNDERWEAR AND NIGHTWEAR KNITTING MILLS,2006,177429.53999999998
4038, NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,2000,177512.35
4039, AUTOMOTIVE GLASS REPLACEMENT SHOPS,2005,177607.7
4040, SCIENTIFIC RESEARCH AND DEVELOPMENT SERVICES,2006,177630.22
4041, CHICKEN EGG PRODUCTION,2003,177888.0
4042, OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,2003,178268.0
4043, CHILD DAY CARE SERVICES,2004,178307.43
4044, OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE,2004,179041.81999999998
4045, EXCAVATION CONTRACTORS,2002,179050.0
4046, INDUSTRIAL AND PERSONAL SERVICE PAPER WHOLESALERS,2004,179368.98
4047," SCENIC AND SIGHTSEEING TRANSPORTATION, LAND",2005,179465.33999999997
4048, SYNTHETIC RUBBER MANUFACTURING,2004,179800.0
4049, PLASTICS MATERIALS AND BASIC FORMS AND SHAPES WHOLESALERS,2007,180000.0
4050, CONFECTIONERY MERCHANT WHOLESALERS,2006,181129.82000000004
4051, SPORTING GOODS STORES,2002,181324.0
4052, SHORT LINE RAILROADS,2008,181626.8
4053, SOLID WASTE COLLECTION,2000,181948.28
4054, PETROCHEMICAL MANUFACTURING,2008,182048.65
4055, CATTLE FEEDLOTS,2005,182431.07
4056, METAL CAN MANUFACTURING,2000,182630.3
4057, ELECTROMETALLURGICAL FERROALLOY PRODUCT MANUFACTURING,2006,182907.5
4058," MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES WHOLESALERS",2001,183000.0
4059, ENVELOPE MANUFACTURING,2003,183619.26
4060, OTHER KNIT FABRIC AND LACE MILLS,2005,183968.62999999998
4061," HOBBY, TOY, AND GAME STORES",2007,183970.0
4062, LIVESTOCK MERCHANT WHOLESALERS,2007,184138.19999999998
4063, AUTOMATIC VENDING MACHINE MANUFACTURING,2008,184761.76
4064, PARKING LOTS AND GARAGES,2002,184960.64
4065, ALUMINUM DIE-CASTING FOUNDRIES,2009,184984.10999999996
4066, LINE-HAUL RAILROADS,2008,185119.88
4067, OTHER MARINE FISHING,2008,185422.0
4068, ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES,2004,185505.45
4069, TESTING LABORATORIES,2000,185521.0
4070, OTHER SOUND RECORDING INDUSTRIES,2004,185694.01
4071, MEAT MARKETS,2006,185767.66
4072, TOTALIZING FLUID METER AND COUNTING DEVICE MANUFACTURING,2001,186000.0
4073, FROZEN SPECIALTY FOOD MANUFACTURING,2005,186237.02
4074, SETUP PAPERBOARD BOX MANUFACTURING,2005,186370.0
4075, PAGING,2006,186550.03
4076, TIRE RETREADING,2006,186611.3
4077, SATELLITE TELECOMMUNICATIONS,2000,186682.0
4078, SAWMILLS,2005,187168.37999999998
4079, CLAIMS ADJUSTING,2003,187862.16
4080, CEMETERIES AND CREMATORIES,2003,188252.0
4081, CONCRETE PIPE MANUFACTURING,2005,188812.70999999996
4082," WATER, SEWER, AND PIPELINE CONSTRUCTION",2000,189000.0
4083, FURNITURE WHOLESALERS,2006,189022.55999999997
4084, LEATHER AND HIDE TANNING AND FINISHING,2007,189160.0
4085," FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES",2003,189200.0
4086," ROOFING, SIDING, AND SHEET METAL CONTRACTORS",2003,190007.56
4087, HARDWARE WHOLESALERS,2005,190142.22
4088, CABLE NETWORKS,2003,190143.88
4089, ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION,2002,190455.0
4090, MONETARY AUTHORITIES - CENTRAL BANK,2004,190502.0
4091, INDUSTRIAL MACHINERY AND EQUIPMENT WHOLESALERS,2006,190579.44
4092, CUTLERY AND FLATWARE (EXCEPT PRECIOUS) MANUFACTURING,2005,190826.9899999998
4093, MOTOR VEHICLE SUPPLIES AND NEW PARTS WHOLESALERS,2007,191000.0
4094, COSMETOLOGY AND BARBER SCHOOLS,2009,191176.82
4095, DOG AND CAT FOOD MANUFACTURING,2008,192422.79
4096, TEMPORARY SHELTERS,2001,192666.06
4097, FREESTANDING AMBULATORY SURGICAL AND EMERGENCY CENTERS,2003,193000.0
4098," SCALE AND BALANCE MANUFACTURING (2007), SCALE AND BALANCE (EXCEPT LABORATORY) MANUFACTURING (2002)",2004,193054.74
4099, ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING,2004,193615.84000000003
4100, OTHER MAJOR HOUSEHOLD APPLIANCE MANUFACTURING,2004,193631.72
4101, RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,2004,193787.0
4102, GLASS CONTAINER MANUFACTURING,2008,194018.65999999997
4103, FLOOR COVERING STORES,2003,194115.27
4104, TELEPRODUCTION AND OTHER POSTPRODUCTION SERVICES,2002,194194.0
4105, AUTOMOTIVE TRANSMISSION REPAIR,2008,194716.26
4106, NAIL SALONS,2007,194866.0
4107, THREAD MILLS,2005,195832.87000000005
4108, NAIL SALONS,2006,196189.0
4109, COPPER ORE AND NICKEL ORE MINING,2005,196343.02000000002
4110, DIGITAL PRINTING,2004,196359.11
4111, ALL OTHER MOTOR VEHICLE DEALERS,2003,196444.05
4112, ART DEALERS,2004,196507.25
4113, GLASS PRODUCT MANUFACTURING MADE OF PURCHASED GLASS,2004,196769.49000000002
4114, NUCLEAR ELECTRIC POWER GENERATION,2007,196927.03999999998
4115, NEWSPRINT MILLS,2008,197016.41
4116, OUTPATIENT MENTAL HEALTH AND SUBSTANCE ABUSE CENTERS,2000,197106.0
4117, ALUMINUM FOUNDRIES (EXCEPT DIE-CASTING),2008,197912.84
4118, SEWAGE TREATMENT FACILITIES,2000,198000.0
4119, WHOLESALE TRADE AGENTS AND BROKERS,2005,198024.25
4120, INVESTMENT BANKING AND SECURITIES DEALING,2008,198260.13
4121, SUPPORT ACTIVITIES FOR COAL MINING,2006,199615.39
4122, WOOD CONTAINER AND PALLET MANUFACTURING,2005,199749.11999999997
4123," STATIONERY, TABLET, AND RELATED PRODUCT MANUFACTURING",2000,199998.0
4124, OIL AND GAS FIELD MACHINERY AND EQUIPMENT MANUFACTURING,2002,200000.0
4125, COMMERCIAL LITHOGRAPHIC PRINTING,2002,200000.0
4126," FIBER CAN, TUBE, DRUM, AND SIMILAR PRODUCTS MANUFACTURING",2002,200000.0
4127, FRUIT AND VEGETABLE MARKETS,2003,200000.0
4128, PREFABRICATED WOOD BUILDING MANUFACTURING,2003,200000.0
4129, OILSEED (EXCEPT SOYBEAN) FARMING,2004,200000.0
4130," WATCH, CLOCK, AND PART MANUFACTURING",2002,200000.0
4131, PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,2001,200000.0
4132, COATED AND LAMINATED PACKAGING PAPER AND PLASTICS FILM MANUFACTURING,2001,200000.0
4133, OTHER WASTE COLLECTION,2001,200000.0
4134, OTHER MISCELLANEOUS NONDURABLE GOODS WHOLESALERS,2009,200111.0
4135, WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING,2008,200332.97999999998
4136, DRUGS AND DRUGGISTS' SUNDRIES WHOLESALERS,2001,200442.11
4137, SCHEDULED FREIGHT AIR TRANSPORTATION,2004,200805.16
4138," MAYONNAISE, DRESSING, AND OTHER PREPARED SAUCE MANUFACTURING",2008,201066.22999999995
4139, BITUMINOUS COAL UNDERGROUND MINING,2006,201793.86
4140, WOOD PRESERVATION,2008,201847.83
4141, TIRE DEALERS,2000,202225.14
4142, FERTILIZER (MIXING ONLY) MANUFACTURING,2007,202400.56999999998
4143, OTHER MARINE FISHING,2004,202781.8
4144, OUTERWEAR KNITTING MILLS,2006,202827.99
4145, WARM AIR HEATING AND AIR-CONDITIONING EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2003,203297.33000000002
4146, TELEPRODUCTION AND OTHER POSTPRODUCTION SERVICES,2003,203438.0
4147, NONCELLULOSIC ORGANIC FIBER MANUFACTURING,2005,203735.0
4148, RECYCLABLE MATERIAL WHOLESALERS,2004,204652.77
4149, OTHER PERFORMING ARTS COMPANIES,2006,204821.32
4150," PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",2005,205048.04
4151, IRON ORE MINING,2005,205099.1
4152, ALL OTHER GRAIN FARMING,2005,205347.73
4153, PET CARE (EXCEPT VETERINARY) SERVICES,2002,205600.95
4154, ICE CREAM AND FROZEN DESSERT MANUFACTURING,2005,206025.2
4155, AUTOMOTIVE EXHAUST SYSTEM REPAIR,2007,206068.34
4156," PRERECORDED TAPE, COMPACT DISC, AND RECORD STORES",2007,206115.42
4157, SPORTS AND RECREATION INSTRUCTION,2005,206381.54000000004
4158, NATURE PARKS AND OTHER SIMILAR INSTITUTIONS,2007,206567.72999999998
4159," OTHER AQUACULTURE (2007), OTHER ANIMAL AQUACULTURE (2002)",2006,206877.2
4160, OPTICAL GOODS STORES,2004,206995.91999999998
4161, WAREHOUSE CLUBS AND SUPERCENTERS,2008,207250.62
4162, CORN FARMING,2002,207473.0
4163, OTHER COMMERCIAL EQUIPMENT WHOLESALERS,2004,207485.0
4164, PORCELAIN ELECTRICAL SUPPLY MANUFACTURING,2004,207635.48
4165, RUBBER PRODUCT MANUFACTURING FOR MECHANICAL USE,2004,208130.2
4166, ALL OTHER HEALTH AND PERSONAL CARE STORES,2001,208917.04
4167, OTHER TECHNICAL AND TRADE SCHOOLS,2001,208957.0
4168," SECONDARY SMELTING, REFINING, AND ALLOYING OF NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM)",2004,209534.58000000002
4169, PIPELINE TRANSPORTATION OF REFINED PETROLEUM PRODUCTS,2008,209606.0
4170, CABLE AND OTHER PROGRAM DISTRIBUTION,2004,209729.36000000002
4171, OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,2003,210000.0
4172, COMMERCIAL BANKING,2003,210000.0
4173, IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,2003,210078.0
4174, COMMERCIAL SCREEN PRINTING,2005,211329.64999999997
4175, PEN AND MECHANICAL PENCIL MANUFACTURING,2008,211370.56
4176, PAGING,2002,211700.4
4177, CLAY REFRACTORY MANUFACTURING,2006,212239.6
4178, AUTOMOTIVE GLASS REPLACEMENT SHOPS,2009,212348.74000000008
4179, TIRE AND TUBE MERCHANT WHOLESALERS,2003,212414.83
4180, ALUMINUM EXTRUDED PRODUCT MANUFACTURING,2003,212803.0
4181, WOOD OFFICE FURNITURE MANUFACTURING,2001,213964.0
4182, SCHEDULED FREIGHT AIR TRANSPORTATION,2003,214000.0
4183, PLASTICS AND RUBBER INDUSTRY MACHINERY MANUFACTURING,2002,214018.56
4184, ALL OTHER METAL ORE MINING,2009,214333.71
4185, MUSICAL INSTRUMENT AND SUPPLIES STORES,2005,214364.41
4186, PLASTICS BOTTLE MANUFACTURING,2008,214602.05
4187, RV (RECREATIONAL VEHICLE) PARKS AND CAMPGROUNDS,2005,214642.30000000002
4188, ENAMELED IRON AND METAL SANITARY WARE MANUFACTURING,2005,215894.02
4189, MARINAS,2008,215991.51
4190, CONVEYOR AND CONVEYING EQUIPMENT MANUFACTURING,2004,216067.85
4191, MOTION PICTURE THEATERS (EXCEPT DRIVE-INS),2005,216482.0
4192, BLANK MAGNETIC AND OPTICAL RECORDING MEDIA MANUFACTURING,2002,216599.5
4193, HARDWARE MERCHANT WHOLESALERS,2004,216656.79
4194, TOILET PREPARATION MANUFACTURING,2004,217768.2
4195," BLANKBOOK, LOOSELEAF BINDERS, AND DEVICES MANUFACTURING",2008,217805.21000000005
4196, CUTLERY AND FLATWARE (EXCEPT PRECIOUS) MANUFACTURING,2008,218607.55000000002
4197, COOKIE AND CRACKER MANUFACTURING,2004,218673.0
4198, AUTOMOTIVE EXHAUST SYSTEM REPAIR,2009,218920.06
4199, UNCLASSIFIED ESTABLISHMENTS,2005,219001.46000000002
4200, BAKED GOODS STORES,2008,219701.59
4201, RENDERING AND MEAT BYPRODUCT PROCESSING,2008,219778.91000000003
4202, ALUMINUM DIE-CASTING FOUNDRIES,2006,220360.34
4203, TREE NUT FARMING,2009,220416.25
4204, OTHER GRANTMAKING AND GIVING SERVICES,2004,220495.11
4205, BEEF CATTLE RANCHING AND FARMING,2008,220507.25000000003
4206, PLASTICS MATERIALS AND BASIC FORMS AND SHAPES WHOLESALERS,2004,220991.0
4207, ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING,2002,221352.0
4208, LIVESTOCK MERCHANT WHOLESALERS,2006,221557.28
4209, BLIND AND SHADE MANUFACTURING,2008,221631.91
4210, OTHER SNACK FOOD MANUFACTURING,2006,221653.66
4211," PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITHOUT FACILITIES",2005,221781.74000000002
4212, RECONSTITUTED WOOD PRODUCT MANUFACTURING,2008,221931.0
4213, GREETING CARD PUBLISHERS,2004,222513.0
4214, MEAT MARKETS,2007,222888.3
4215, ASPHALT SHINGLE AND COATING MATERIALS MANUFACTURING,2003,223000.0
4216," ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND CONSTRUCTION MATERIAL WHOLESALERS",2005,223539.71
4217, PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING,2002,223661.0
4218, LEGAL COUNSEL AND PROSECUTION,2003,223799.0
4219, REGULATION OF AGRICULTURAL MARKETING AND COMMODITIES,2008,223881.24
4220, CONVENTION AND VISITORS BUREAUS,2007,224022.22
4221," CAFETERIAS, GRILL BUFFETS, AND BUFFETS",2008,224365.22999999998
4222, APICULTURE,2005,224628.74
4223, DIRECT PROPERTY AND CASUALTY INSURANCE CARRIERS,2008,224926.22
4224, STATIONERY AND OFFICE SUPPLIES WHOLESALERS,2000,224997.0
4225, EXAM PREPARATION AND TUTORING,2008,225000.25
4226, PEN AND MECHANICAL PENCIL MANUFACTURING,2005,225586.11
4227, ALL OTHER INDUSTRIAL MACHINERY MANUFACTURING,2000,225845.0
4228," PRERECORDED TAPE, COMPACT DISC, AND RECORD STORES",2006,225894.64
4229," ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS",2001,226596.45
4230, COMMERCIAL FLEXOGRAPHIC PRINTING,2004,226829.63
4231, CONSTRUCTION AND MINING (EXCEPT OIL WELL) MACHINERY AND EQUIPMENT WHOLESALERS,2003,227514.0
4232, HARDWARE WHOLESALERS,2007,228210.04000000007
4233, YARN SPINNING MILLS,2008,228579.45
4234, ELECTRIC LAMP BULB AND PART MANUFACTURING,2005,228635.09
4235," CUT STOCK, RESAWING LUMBER, AND PLANING",2005,229320.71999999997
4236," PRERECORDED COMPACT DISC (EXCEPT SOFTWARE), TAPE, AND RECORD REPRODUCING",2006,229375.86
4237, OPEN-END INVESTMENT FUNDS,2002,229435.0
4238, JANITORIAL SERVICES,2006,229658.0
