,naics_code,fiscal_year,base_and_all_options_value
0," SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL",2001,0.0
1, ELECTRICAL EQUIPMENT MANUFACTURING,2001,0.0
2, DRINKING PLACES (ALCOHOLIC BEVERAGES),2003,0.0
3, DRINKING PLACES (ALCOHOLIC BEVERAGES),2002,0.0
4, COFFEE AND TEA MANUFACTURING,2001,0.0
5, COFFEE AND TEA MANUFACTURING,2002,0.0
6, OTHER MAJOR HOUSEHOLD APPLIANCE MANUFACTURING,2003,0.0
7, OTHER MAJOR HOUSEHOLD APPLIANCE MANUFACTURING,2000,0.0
8, HOUSEHOLD LAUNDRY EQUIPMENT MANUFACTURING,2003,0.0
9, HOUSEHOLD LAUNDRY EQUIPMENT MANUFACTURING,2002,0.0
10, HOUSEHOLD LAUNDRY EQUIPMENT MANUFACTURING,2000,0.0
11, HOME HEALTH EQUIPMENT RENTAL,2001,0.0
12, FLAVORING SYRUP AND CONCENTRATE MANUFACTURING,2001,0.0
13, HOUSEHOLD VACUUM CLEANER MANUFACTURING,2003,0.0
14, FLAVORING SYRUP AND CONCENTRATE MANUFACTURING,2003,0.0
15, RECREATIONAL GOODS RENTAL,2001,0.0
16, VIDEO TAPE AND DISC RENTAL,2003,0.0
17, OTHER SNACK FOOD MANUFACTURING,2003,0.0
18, OTHER SNACK FOOD MANUFACTURING,2002,0.0
19, OTHER SNACK FOOD MANUFACTURING,2000,0.0
20, DRY PASTA MANUFACTURING,2001,0.0
21, DRY PASTA MANUFACTURING,2002,0.0
22, DRY PASTA MANUFACTURING,2003,0.0
23, FORMAL WEAR AND COSTUME RENTAL,2000,0.0
24, FORMAL WEAR AND COSTUME RENTAL,2001,0.0
25, GENERAL AUTOMOTIVE REPAIR,2001,0.0
26, AUTOMOTIVE REPAIR AND MAINTENANCE,2001,0.0
27, RECREATIONAL GOODS RENTAL,2002,0.0
28, TORTILLA MANUFACTURING,2003,0.0
29, MOTOR AND GENERATOR MANUFACTURING,2000,0.0
30, ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,2000,0.0
31, ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,2001,0.0
32, ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,2002,0.0
33, ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,2003,0.0
34, VIDEO TAPE AND DISC RENTAL,2001,0.0
35, VIDEO TAPE AND DISC RENTAL,2002,0.0
36, FORMAL WEAR AND COSTUME RENTAL,2003,0.0
37, DRY PASTA MANUFACTURING,2000,0.0
38, RECREATIONAL GOODS RENTAL,2003,0.0
39," MAYONNAISE, DRESSING, AND OTHER PREPARED SAUCE MANUFACTURING",2001,0.0
40, ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,2000,0.0
41, ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,2001,0.0
42," CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",2000,0.0
43, OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,2001,0.0
44, FOOD SERVICE CONTRACTORS,2001,0.0
45," WATCH, CLOCK, AND PART MANUFACTURING",2001,0.0
46," WATCH, CLOCK, AND PART MANUFACTURING",2000,0.0
47, SOFT DRINK MANUFACTURING,2000,0.0
48, SOFT DRINK MANUFACTURING,2001,0.0
49, LESSORS OF NONFINANCIAL INTANGIBLE ASSETS (EXCEPT COPYRIGHTED WORKS),2003,0.0
50," PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2001,0.0
51, LEGAL SERVICES,2001,0.0
52, OFFICES OF LAWYERS,2001,0.0
53, SNACK AND NONALCOHOLIC BEVERAGE BARS,2003,0.0
54, SNACK AND NONALCOHOLIC BEVERAGE BARS,2002,0.0
55, CATERERS,2001,0.0
56," COMMERCIAL AIR, RAIL, AND WATER TRANSPORTATION EQUIPMENT RENTAL AND LEASING",2001,0.0
57," COMMERCIAL AIR, RAIL, AND WATER TRANSPORTATION EQUIPMENT RENTAL AND LEASING",2000,0.0
58," CONSTRUCTION, TRANSPORTATION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",2001,0.0
59," MAYONNAISE, DRESSING, AND OTHER PREPARED SAUCE MANUFACTURING",2002,0.0
60," MAYONNAISE, DRESSING, AND OTHER PREPARED SAUCE MANUFACTURING",2003,0.0
61, GENERAL RENTAL CENTERS,2000,0.0
62, MOBILE FOOD SERVICES,2003,0.0
63, MOBILE FOOD SERVICES,2002,0.0
64, SPICE AND EXTRACT MANUFACTURING,2001,0.0
65, SPICE AND EXTRACT MANUFACTURING,2002,0.0
66, OTHER LIGHTING EQUIPMENT MANUFACTURING,2001,0.0
67, SPICE AND EXTRACT MANUFACTURING,2004,0.0
68, GENERAL RENTAL CENTERS,2001,0.0
69," PRERECORDED COMPACT DISC (EXCEPT SOFTWARE), TAPE, AND RECORD REPRODUCING",2003,0.0
70, MOBILE FOOD SERVICES,2001,0.0
71, PERISHABLE PREPARED FOOD MANUFACTURING,2001,0.0
72, PERISHABLE PREPARED FOOD MANUFACTURING,2002,0.0
73," PRERECORDED COMPACT DISC (EXCEPT SOFTWARE), TAPE, AND RECORD REPRODUCING",2002,0.0
74," PRERECORDED COMPACT DISC (EXCEPT SOFTWARE), TAPE, AND RECORD REPRODUCING",2001,0.0
75, ELECTRIC LAMP BULB AND PART MANUFACTURING,2000,0.0
76, SNACK AND NONALCOHOLIC BEVERAGE BARS,2001,0.0
77, SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING,2000,0.0
78, PASSENGER CAR LEASING,2000,0.0
79, REAL ESTATE INVESTMENT TRUSTS,2001,0.0
80, REAL ESTATE INVESTMENT TRUSTS,2002,0.0
81, SEAFOOD CANNING,2000,0.0
82, SEAFOOD CANNING,2001,0.0
83, SEAFOOD CANNING,2002,0.0
84, SEAFOOD CANNING,2003,0.0
85, REAL ESTATE INVESTMENT TRUSTS,2003,0.0
86, HEAVY DUTY TRUCK MANUFACTURING,2001,0.0
87, AUTOMOTIVE TRANSMISSION REPAIR,2003,0.0
88, REAL ESTATE INVESTMENT TRUSTS,2008,0.0
89, OTHER FINANCIAL VEHICLES,2001,0.0
90, FRESH AND FROZEN SEAFOOD PROCESSING,2000,0.0
91, FRESH AND FROZEN SEAFOOD PROCESSING,2001,0.0
92, FRESH AND FROZEN SEAFOOD PROCESSING,2002,0.0
93, FRESH AND FROZEN SEAFOOD PROCESSING,2003,0.0
94, OTHER AUTOMOTIVE MECHANICAL AND ELECTRICAL REPAIR AND MAINTENANCE,2000,0.0
95, OTHER AUTOMOTIVE MECHANICAL AND ELECTRICAL REPAIR AND MAINTENANCE,2001,0.0
96, OTHER AUTOMOTIVE MECHANICAL AND ELECTRICAL REPAIR AND MAINTENANCE,2002,0.0
97, POULTRY PROCESSING,2002,0.0
98, MEAT PROCESSED FROM CARCASSES,2001,0.0
99, TRAVEL TRAILER AND CAMPER MANUFACTURING,2003,0.0
100, MEAT PROCESSED FROM CARCASSES,2003,0.0
101," AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",2001,0.0
102, TRAVEL TRAILER AND CAMPER MANUFACTURING,2001,0.0
103, MOTOR HOME MANUFACTURING,2003,0.0
104, MOTOR HOME MANUFACTURING,2001,0.0
105, OTHER FINANCIAL VEHICLES,2002,0.0
106, OTHER INSURANCE FUNDS,2001,0.0
107, TRUCK TRAILER MANUFACTURING,2001,0.0
108, TRUCK TRAILER MANUFACTURING,2000,0.0
109, OPEN-END INVESTMENT FUNDS,2003,0.0
110, MOTOR VEHICLE BODY AND TRAILER MANUFACTURING,2001,0.0
111," TRUSTS, ESTATES, AND AGENCY ACCOUNTS",2003,0.0
112, POULTRY PROCESSING,2000,0.0
113, POULTRY PROCESSING,2001,0.0
114, RENDERING AND MEAT BYPRODUCT PROCESSING,2001,0.0
115, RELAY AND INDUSTRIAL CONTROL MANUFACTURING,2000,0.0
116, LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,2000,0.0
117, LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,2001,0.0
118, OFFICES OF REAL ESTATE APPRAISERS,2001,0.0
119, OFFICES OF REAL ESTATE APPRAISERS,2002,0.0
120, COOKIE AND CRACKER MANUFACTURING,2000,0.0
121, COOKIE AND CRACKER MANUFACTURING,2001,0.0
122, COOKIE AND CRACKER MANUFACTURING,2002,0.0
123, COOKIE AND CRACKER MANUFACTURING,2003,0.0
124, OFFICES OF REAL ESTATE APPRAISERS,2005,0.0
125, FIBER OPTIC CABLE MANUFACTURING,2000,0.0
126, OTHER ACTIVITIES RELATED TO REAL ESTATE,2001,0.0
127, OTHER ACTIVITIES RELATED TO REAL ESTATE,2000,0.0
128, RENTAL AND LEASING SERVICES,2001,0.0
129, FLOUR MIXES AND DOUGH MANUFACTURING FROM PURCHASED FLOUR,2001,0.0
130, FLOUR MIXES AND DOUGH MANUFACTURING FROM PURCHASED FLOUR,2002,0.0
131, PASSENGER CAR RENTAL,2001,0.0
132, STORAGE BATTERY MANUFACTURING,2000,0.0
133, RESIDENTIAL PROPERTY MANAGERS,2002,0.0
134, RESIDENTIAL PROPERTY MANAGERS,2000,0.0
135," FROZEN CAKES, PIES, AND OTHER PASTRIES MANUFACTURING",2004,0.0
136," FROZEN CAKES, PIES, AND OTHER PASTRIES MANUFACTURING",2003,0.0
137, BREAD AND BAKERY PRODUCT MANUFACTURING,2001,0.0
138, RETAIL BAKERIES,2001,0.0
139, RETAIL BAKERIES,2002,0.0
140, LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES),2001,0.0
141, LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,2001,0.0
142, LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,2002,0.0
143, LESSORS OF OTHER REAL ESTATE PROPERTY,2001,0.0
144, AUTOMOTIVE TRANSMISSION REPAIR,2001,0.0
145, CARBON AND GRAPHITE PRODUCT MANUFACTURING,2001,0.0
146, NONCURRENT-CARRYING WIRING DEVICE MANUFACTURING,2001,0.0
147, NONCURRENT-CARRYING WIRING DEVICE MANUFACTURING,2000,0.0
148, OFFICES OF REAL ESTATE AGENTS AND BROKERS,2001,0.0
149, AUTOMOTIVE EXHAUST SYSTEM REPAIR,2003,0.0
150, AUTOMOTIVE EXHAUST SYSTEM REPAIR,2002,0.0
151, AUTOMOTIVE EXHAUST SYSTEM REPAIR,2001,0.0
152," FROZEN CAKES, PIES, AND OTHER PASTRIES MANUFACTURING",2002,0.0
153, COMMERCIAL BAKERIES,2000,0.0
154, BOTTLED WATER MANUFACTURING,2001,0.0
155, BOTTLED WATER MANUFACTURING,2002,0.0
156, OFFICES OF NOTARIES,2001,0.0
157, RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,2006,0.0
158, OTHER KNIT FABRIC AND LACE MILLS,2001,0.0
159, OTHER KNIT FABRIC AND LACE MILLS,2002,0.0
160, OTHER KNIT FABRIC AND LACE MILLS,2003,0.0
161, ADVERTISING AGENCIES,2000,0.0
162, PUBLIC RELATIONS AGENCIES,2001,0.0
163, MEDIA BUYING AGENCIES,2001,0.0
164, MEDIA REPRESENTATIVES,2000,0.0
165, MEDIA REPRESENTATIVES,2001,0.0
166, MEDIA REPRESENTATIVES,2002,0.0
167, OUTDOOR ADVERTISING,2001,0.0
168, OUTDOOR ADVERTISING,2003,0.0
169, DIRECT MAIL ADVERTISING,2001,0.0
170, ADVERTISING MATERIAL DISTRIBUTION SERVICES,2001,0.0
171, COMPUTER AND PERIPHERAL EQUIPMENT MANUFACTURING,2000,0.0
172, RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,2001,0.0
173, TELEPHONE APPARATUS MANUFACTURING,2006,0.0
174, WEFT KNIT FABRIC MILLS,2002,0.0
175, WEFT KNIT FABRIC MILLS,2001,0.0
176, OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,2001,0.0
177, LIMITED-SERVICE RESTAURANTS,2001,0.0
178, SCHIFFLI MACHINE EMBROIDERY,2003,0.0
